,no,name,x_coor,y_coor,addr
5323,14209,이화여대입구,126.9459257,37.55579804,서울 마포구 대흥동 3-63
5324,14210,대흥교회,126.9458281,37.55405082,서울 마포구 대흥동 3-63
5325,14211,대흥교회,126.945964,37.55378585,서울 마포구 대흥동 3-63
5326,14212,서강대학교후문,126.9440498,37.55047645,서울 마포구 대흥동 38-16
5327,14213,마포자이2차아파트.대흥역,126.9426771,37.54874812,서울 마포구 대흥동 36-35
5328,14215,굴레방다리.아현역,126.9574723,37.55728253,서울 마포구 아현동 354-23
5329,14216,양화진성지공원입구,126.9120466,37.54870142,서울 마포구 합정동 381-76
5330,14217,홍대입구,126.9206176,37.55461798,서울 마포구 서교동 427
5331,14218,홀트아동복지회,126.9122063,37.5489317,서울 마포구 합정동 402
5332,14219,합정역,126.9157588,37.55093438,서울 마포구 서교동 427
5333,14220,합정역,126.9151741,37.55033422,서울 마포구 서교동 427
5334,14224,홍대입구역,126.9234178,37.55668829,서울 마포구 동교동 155-6
5335,14225,홍대입구역,126.9234487,37.55650499,서울 마포구 동교동 155-6
5336,14226,연남동,126.9275885,37.56250089,서울 마포구 연남동 226-48
5337,14228,신촌역,126.9348148,37.55573474,서울 마포구 노고산동 31-124
5338,14230,극동방송,126.9230494,37.54942568,서울 마포구 상수동 86-51
5339,14231,극동방송,126.9229361,37.54942883,서울 마포구 상수동 90-10
5340,14232,홍익대학교,126.9237383,37.55222647,서울 마포구 서교동 406
5341,14233,홍익대학교,126.9246504,37.55305628,서울 마포구 서교동 349
5342,14234,산울림소극장,126.9297933,37.55441887,서울 마포구 서교동 349
5343,14235,산울림소극장,126.9301853,37.55494793,서울 마포구 서교동 349
5344,14236,신수중학교,126.9326708,37.54536809,서울 마포구 구수동 73-1
5345,14237,신수중학교,126.9327465,37.5454041,서울 마포구 구수동 74-5
5346,14238,래미안웰스트림아파트,126.9361916,37.54419847,서울 마포구 신수동 448-21
5347,14239,한국출판콘텐츠센터,126.9357656,37.54443518,서울 마포구 신수동 448-39
5348,14240,용강동주민센터,126.9404822,37.54197747,서울 마포구 용강동 45-15
5349,14241,용강동주민센터,126.9411319,37.54166798,서울 마포구 용강동 45-15
5350,14242,용강동입구,126.9440875,37.53961489,서울 마포구 용강동 45-15
5351,14243,마포대교입구,126.9440749,37.53949321,서울 마포구 용강동 45-15
5352,14244,메세나폴리스,126.9127871,37.55073801,서울 마포구 합정동 402
5353,14245,마포한강푸르지오,126.9126757,37.55075951,서울 마포구 합정동 402
5354,14246,성산초등학교입구,126.9119533,37.55314542,서울 마포구 합정동 427-24
5355,14247,성산초등학교입구,126.9120662,37.553141,서울 마포구 서교동 444-11
5356,14248,기업은행서교동지점(최규하대통령가옥),126.9113576,37.55473483,서울 마포구 서교동 476-54
5357,14249,기업은행서교동지점(최규하대통령가옥),126.9110172,37.55493763,서울 마포구 망원동 378-18
5358,14250,망원시장.망원동월드컵시장입구,126.9086482,37.55759362,서울 마포구 성산동 292-15
